concept,subtype,source_dataset,current_matched_image,archive_image_count,selected_image_count
badger,animal,things,data/images/things_max/badger.jpg,23,23
bag,container,things,data/images/things_max/bag.jpg,16,16
bagel,food,things,data/images/things_max/bagel.jpg,24,24
bagpipe,musical instrument,things,data/images/things_max/bagpipe.jpg,15,15
baklava,"food, dessert",things,data/images/things_max/baklava.jpg,16,16
balance_beam,sports equipment,things,data/images/things_max/balance_beam.jpg,13,13
ball,"toy, sports equipment",things,data/images/things_max/ball.jpg,16,16
balloon,toy,things,data/images/things_max/balloon.jpg,20,20
ballot_box,container,things,data/images/things_max/ballot_box.jpg,16,16
bamboo,plant,things,data/images/things_max/bamboo.jpg,16,16
banana,"food, fruit",things,data/images/things_max/banana.jpg,13,13
banana_peel,#N/A,things,data/images/things_max/banana_peel.jpg,17,17
banana_split,"food, dessert",things,data/images/things_max/banana_split.jpg,15,15
bandage,medical equipment,things,data/images/things_max/bandage.jpg,12,12
bandanna,"clothing, clothing accessory",things,data/images/things_max/bandanna.jpg,12,12
banjo,musical instrument,things,data/images/things_max/banjo.jpg,16,16
bank,container,things,data/images/things_max/bank.jpg,13,13
banner,decoration,things,data/images/things_max/banner.jpg,13,13
barbed_wire,#N/A,things,data/images/things_max/barbed_wire.jpg,17,17
barbell,sports equipment,things,data/images/things_max/barbell.jpg,12,12
barcode,#N/A,things,data/images/things_max/barcode.jpg,14,14
bark,Noun,things,data/images/things_max/bark.jpg,22,22
barnacle,animal,things,data/images/things_max/barnacle.jpg,12,12
barrel,container,things,data/images/things_max/barrel.jpg,19,19
barrette,Noun,things,data/images/things_max/barrette.jpg,12,12
baseball,sports equipment,things,data/images/things_max/baseball.jpg,18,18
baseball_bat,"weapon, sports equipment",things,data/images/things_max/baseball_bat.jpg,12,12
baseball_glove,sports equipment,things,data/images/things_max/baseball_glove.jpg,19,19
basil,"plant, food",things,data/images/things_max/basil.jpg,14,14
basket,container,things,data/images/things_max/basket.jpg,12,12
basketball,sports equipment,things,data/images/things_max/basketball.jpg,13,13
basketball_hoop,sports equipment,things,data/images/things_max/basketball_hoop.jpg,12,12
bassinet,furniture,things,data/images/things_max/bassinet.jpg,16,16
bassoon,musical instrument,things,data/images/things_max/bassoon.jpg,19,19
bat1,animal,things,data/images/things_max/bat1.jpg,18,18
bat2,"weapon, sports equipment",things,data/images/things_max/bat2.jpg,15,15
bathmat,Noun,things,data/images/things_max/bathmat.jpg,13,13
bathrobe,clothing,things,data/images/things_max/bathrobe.jpg,21,21
bathtub,container,things,data/images/things_max/bathtub.jpg,24,24
baton1,Noun,things,data/images/things_max/baton1.jpg,16,16
baton2,weapon,things,data/images/things_max/baton2.jpg,13,13
baton3,sports equipment,things,data/images/things_max/baton3.jpg,17,17
baton4,sports equipment,things,data/images/things_max/baton4.jpg,18,18
batter,food,things,data/images/things_max/batter.jpg,12,12
battery,Noun,things,data/images/things_max/battery.jpg,13,13
bazooka,weapon,things,data/images/things_max/bazooka.jpg,13,13
beachball,"toy, sports equipment",things,data/images/things_max/beachball.jpg,19,19
bead,decoration,things,data/images/things_max/bead.jpg,14,14
beaker,container,things,data/images/things_max/beaker.jpg,16,16
bean,food,things,data/images/things_max/bean.jpg,13,13
beanbag,furniture,things,data/images/things_max/beanbag.jpg,16,16
beanie,clothing,things,data/images/things_max/beanie.jpg,18,18
bear,animal,things,data/images/things_max/bear.jpg,21,21
beard,body part,things,data/images/things_max/beard.jpg,16,16
beaver,animal,things,data/images/things_max/beaver.jpg,17,17
bed,furniture,things,data/images/things_max/bed.jpg,22,22
bedpan,"medical equipment, container",things,data/images/things_max/bedpan.jpg,13,13
bedpost,furniture,things,data/images/things_max/bedpost.jpg,15,15
bee,"animal, insect",things,data/images/things_max/bee.jpg,27,27
beehive,Noun,things,data/images/things_max/beehive.jpg,13,13
beer,drink,things,data/images/things_max/beer.jpg,16,16
beet,"food, vegetable",things,data/images/things_max/beet.jpg,15,15
beetle,"animal, insect",things,data/images/things_max/beetle.jpg,15,15
bell,musical instrument,things,data/images/things_max/bell.jpg,17,17
bell_pepper,"food, vegetable",things,data/images/things_max/bell_pepper.jpg,14,14
belt,"clothing, clothing accessory",things,data/images/things_max/belt.jpg,14,14
belt_buckle,clothing accessory,things,data/images/things_max/belt_buckle.jpg,17,17
bench,furniture,things,data/images/things_max/bench.jpg,16,16
berry,"food, fruit",things,data/images/things_max/berry.jpg,12,12
bib,Noun,things,data/images/things_max/bib.jpg,15,15
bike,vehicle,things,data/images/things_max/bike.jpg,23,23
bikini,clothing,things,data/images/things_max/bikini.jpg,12,12
bin,container,things,data/images/things_max/bin.jpg,14,14
binder,office supply,things,data/images/things_max/binder.jpg,24,24
binoculars,Noun,things,data/images/things_max/binoculars.jpg,12,12
bird,"animal, bird",things,data/images/things_max/bird.jpg,23,23
birdbath,"home decor, container",things,data/images/things_max/birdbath.jpg,15,15
birdcage,"home decor, container",things,data/images/things_max/birdcage.jpg,12,12
birdhouse,home decor,things,data/images/things_max/birdhouse.jpg,12,12
birthday_cake,"food, dessert",things,data/images/things_max/birthday_cake.jpg,18,18
biscuit,food,things,data/images/things_max/biscuit.jpg,12,12
bison,animal,things,data/images/things_max/bison.jpg,13,13
blackberry,"food, fruit",things,data/images/things_max/blackberry.jpg,12,12
blanket,Noun,things,data/images/things_max/blanket.jpg,12,12
blazer,clothing,things,data/images/things_max/blazer.jpg,15,15
blender,"electronic device, kitchen appliance",things,data/images/things_max/blender.jpg,14,14
blimp,vehicle,things,data/images/things_max/blimp.jpg,12,12
blind,Adjective,things,data/images/things_max/blind.jpg,26,26
blinder,Adjective,things,data/images/things_max/blinder.jpg,13,13
blindfold,Noun,things,data/images/things_max/blindfold.jpg,18,18
block,Noun,things,data/images/things_max/block.jpg,15,15
blouse,clothing,things,data/images/things_max/blouse.jpg,16,16
blower,"electronic device, tool",things,data/images/things_max/blower.jpg,16,16
blowfish,animal,things,data/images/things_max/blowfish.jpg,16,16
blowgun,weapon,things,data/images/things_max/blowgun.jpg,13,13
blowtorch,"weapon, tool",things,data/images/things_max/blowtorch.jpg,14,14
blueberry,"food, fruit",things,data/images/things_max/blueberry.jpg,12,12
boa,"clothing, clothing accessory",things,data/images/things_max/boa.jpg,15,15
boar,animal,things,data/images/things_max/boar.jpg,12,12
board,Noun,things,data/images/things_max/board.jpg,16,16
board_game,#N/A,things,data/images/things_max/board_game.jpg,22,22
boat,vehicle,things,data/images/things_max/boat.jpg,15,15
bobsled,sports equipment,things,data/images/things_max/bobsled.jpg,18,18
bok_choy,"plant, food, vegetable",things,data/images/things_max/bok_choy.jpg,17,17
bolo_tie,"clothing, clothing accessory",things,data/images/things_max/bolo_tie.jpg,12,12
bologna,food,things,data/images/things_max/bologna.jpg,12,12
bolt,Noun,things,data/images/things_max/bolt.jpg,15,15
bomb,weapon,things,data/images/things_max/bomb.jpg,15,15
bone,body part,things,data/images/things_max/bone.jpg,15,15
bongo,musical instrument,things,data/images/things_max/bongo.jpg,18,18
bonnet,"clothing, clothing accessory",things,data/images/things_max/bonnet.jpg,12,12
bonsai,"home decor, plant",things,data/images/things_max/bonsai.jpg,12,12
book,Noun,things,data/images/things_max/book.jpg,13,13
bookmark,Noun,things,data/images/things_max/bookmark.jpg,17,17
bookshelf,furniture,things,data/images/things_max/bookshelf.jpg,12,12
boomerang,"weapon, toy",things,data/images/things_max/boomerang.jpg,12,12
boot,clothing,things,data/images/things_max/boot.jpg,16,16
bottle,container,things,data/images/things_max/bottle.jpg,12,12
bottle_opener,"kitchen tool, tool",things,data/images/things_max/bottle_opener.jpg,15,15
boulder,Name,things,data/images/things_max/boulder.jpg,22,22
bouquet,decoration,things,data/images/things_max/bouquet.jpg,14,14
bow1,"clothing, clothing accessory",things,data/images/things_max/bow1.jpg,19,19
bow2,weapon,things,data/images/things_max/bow2.jpg,12,12
bow3,decoration,things,data/images/things_max/bow3.jpg,12,12
bowl,container,things,data/images/things_max/bowl.jpg,12,12
bowler_hat,clothing,things,data/images/things_max/bowler_hat.jpg,13,13
bowling_ball,sports equipment,things,data/images/things_max/bowling_ball.jpg,18,18
bowtie,"clothing, clothing accessory",things,data/images/things_max/bowtie.jpg,14,14
box,container,things,data/images/things_max/box.jpg,12,12
boxer_shorts,clothing,things,data/images/things_max/boxer_shorts.jpg,13,13
boxing_gloves,sports equipment,things,data/images/things_max/boxing_gloves.jpg,15,15
boy,Noun,things,data/images/things_max/boy.jpg,13,13
bra,clothing,things,data/images/things_max/bra.jpg,14,14
brace,medical equipment,things,data/images/things_max/brace.jpg,16,16
bracelet1,"clothing, clothing accessory",things,data/images/things_max/bracelet1.jpg,18,18
bracelet2,clothing accessory,things,data/images/things_max/bracelet2.jpg,17,17
bracket,Noun,things,data/images/things_max/bracket.jpg,15,15
braid,Noun,things,data/images/things_max/braid.jpg,12,12
brake,part of car,things,data/images/things_max/brake.jpg,12,12
branch,Noun,things,data/images/things_max/branch.jpg,14,14
brass_knuckles,weapon,things,data/images/things_max/brass_knuckles.jpg,14,14
bread,food,things,data/images/things_max/bread.jpg,22,22
breadbox,container,things,data/images/things_max/breadbox.jpg,14,14
breadstick,food,things,data/images/things_max/breadstick.jpg,16,16
breakfast,food,things,data/images/things_max/breakfast.jpg,13,13
breathalyzer,Noun,things,data/images/things_max/breathalyzer.jpg,12,12
brick,Noun,things,data/images/things_max/brick.jpg,14,14
briefcase,container,things,data/images/things_max/briefcase.jpg,13,13
broccoli,"plant, food, vegetable",things,data/images/things_max/broccoli.jpg,14,14
brooch,clothing accessory,things,data/images/things_max/brooch.jpg,12,12
broom,tool,things,data/images/things_max/broom.jpg,12,12
brownie,"food, dessert",things,data/images/things_max/brownie.jpg,18,18
brush,tool,things,data/images/things_max/brush.jpg,13,13
brussels_sprouts,"food, vegetable",things,data/images/things_max/brussels_sprouts.jpg,12,12
bubble,Noun,things,data/images/things_max/bubble.jpg,12,12
bubble_wrap,#N/A,things,data/images/things_max/bubble_wrap.jpg,12,12
bucket,container,things,data/images/things_max/bucket.jpg,12,12
buckle,clothing accessory,things,data/images/things_max/buckle.jpg,14,14
buffet,food,things,data/images/things_max/buffet.jpg,14,14
bug,"animal, insect",things,data/images/things_max/bug.jpg,17,17
buggy,vehicle,things,data/images/things_max/buggy.jpg,12,12
bull,animal,things,data/images/things_max/bull.jpg,12,12
bulldozer,vehicle,things,data/images/things_max/bulldozer.jpg,22,22
bullet,weapon,things,data/images/things_max/bullet.jpg,13,13
bulletin_board,#N/A,things,data/images/things_max/bulletin_board.jpg,12,12
bulletproof_vest,clothing,things,data/images/things_max/bulletproof_vest.jpg,12,12
bumper,part of car,things,data/images/things_max/bumper.jpg,12,12
bun,food,things,data/images/things_max/bun.jpg,12,12
bungee,"tool, sports equipment",things,data/images/things_max/bungee.jpg,12,12
bunkbed,furniture,things,data/images/things_max/bunkbed.jpg,15,15
buoy,Noun,things,data/images/things_max/buoy.jpg,12,12
burner,kitchen appliance,things,data/images/things_max/burner.jpg,12,12
burrito,food,things,data/images/things_max/burrito.jpg,12,12
bus,vehicle,things,data/images/things_max/bus.jpg,12,12
bush,plant,things,data/images/things_max/bush.jpg,12,12
butter,food,things,data/images/things_max/butter.jpg,16,16
butterfly,"animal, insect",things,data/images/things_max/butterfly.jpg,16,16
button1,clothing accessory,things,data/images/things_max/button1.jpg,19,19
button2,Noun,things,data/images/things_max/button2.jpg,12,12
cabbage,"plant, food, vegetable",things,data/images/things_max/cabbage.jpg,13,13
cabinet,"furniture, container",things,data/images/things_max/cabinet.jpg,14,14
cable,Noun,things,data/images/things_max/cable.jpg,12,12
cactus,plant,things,data/images/things_max/cactus.jpg,12,12
cage,container,things,data/images/things_max/cage.jpg,12,12
cake,"food, dessert",things,data/images/things_max/cake.jpg,15,15
cake_mix,"food, dessert",things,data/images/things_max/cake_mix.jpg,12,12
calamari,food,things,data/images/things_max/calamari.jpg,14,14
calculator,Noun,things,data/images/things_max/calculator.jpg,14,14
calf1,animal,things,data/images/things_max/calf1.jpg,16,16
calf2,body part,things,data/images/things_max/calf2.jpg,14,14
calzone,food,things,data/images/things_max/calzone.jpg,12,12
camcorder,electronic device,things,data/images/things_max/camcorder.jpg,12,12
camel,animal,things,data/images/things_max/camel.jpg,13,13
camera_lens,#N/A,things,data/images/things_max/camera_lens.jpg,14,14
camera1,electronic device,things,data/images/things_max/camera1.jpg,12,12
camera2,electronic device,things,data/images/things_max/camera2.jpg,12,12
camper,vehicle,things,data/images/things_max/camper.jpg,12,12
can,container,things,data/images/things_max/can.jpg,12,12
can_opener,"kitchen tool, tool",things,data/images/things_max/can_opener.jpg,12,12
candelabra,home decor,things,data/images/things_max/candelabra.jpg,17,17
candle,home decor,things,data/images/things_max/candle.jpg,12,12
candlestick,home decor,things,data/images/things_max/candlestick.jpg,14,14
candy,food,things,data/images/things_max/candy.jpg,13,13
candy_bar,food,things,data/images/things_max/candy_bar.jpg,12,12
candy_cane,food,things,data/images/things_max/candy_cane.jpg,12,12
cane,medical equipment,things,data/images/things_max/cane.jpg,12,12
canister,container,things,data/images/things_max/canister.jpg,15,15
cannon,weapon,things,data/images/things_max/cannon.jpg,12,12
cannonball,weapon,things,data/images/things_max/cannonball.jpg,16,16
canoe,vehicle,things,data/images/things_max/canoe.jpg,21,21
cantaloupe,"food, fruit",things,data/images/things_max/cantaloupe.jpg,13,13
canvas,Noun,things,data/images/things_max/canvas.jpg,16,16
cap,Noun,things,data/images/things_max/cap.jpg,14,14
cape,clothing,things,data/images/things_max/cape.jpg,15,15
car,vehicle,things,data/images/things_max/car.jpg,12,12
car_door,part of car,things,data/images/things_max/car_door.jpg,12,12
car_seat,part of car,things,data/images/things_max/car_seat.jpg,13,13
caramel,"food, dessert",things,data/images/things_max/caramel.jpg,13,13
card,Noun,things,data/images/things_max/card.jpg,15,15
cardboard,Adjective,things,data/images/things_max/cardboard.jpg,13,13
cardigan,clothing,things,data/images/things_max/cardigan.jpg,14,14
cardinal,"animal, bird",things,data/images/things_max/cardinal.jpg,15,15
carousel,Noun,things,data/images/things_max/carousel.jpg,12,12
carriage,vehicle,things,data/images/things_max/carriage.jpg,16,16
carrot,"food, vegetable",things,data/images/things_max/carrot.jpg,12,12
cart,vehicle,things,data/images/things_max/cart.jpg,12,12
cash_machine,electronic device,things,data/images/things_max/cash_machine.jpg,12,12
cash_register,container,things,data/images/things_max/cash_register.jpg,12,12
cashew,food,things,data/images/things_max/cashew.jpg,15,15
casserole,food,things,data/images/things_max/casserole.jpg,12,12
cassette,container,things,data/images/things_max/cassette.jpg,12,12
cat,animal,things,data/images/things_max/cat.jpg,12,12
catapult,weapon,things,data/images/things_max/catapult.jpg,12,12
caterpillar,"animal, insect",things,data/images/things_max/caterpillar.jpg,21,21
catfish,"animal, food",things,data/images/things_max/catfish.jpg,12,12
cauliflower,"food, vegetable",things,data/images/things_max/cauliflower.jpg,16,16
caviar,food,things,data/images/things_max/caviar.jpg,13,13
cd_player,electronic device,things,data/images/things_max/cd_player.jpg,12,12
celery,"food, vegetable",things,data/images/things_max/celery.jpg,12,12
cello,musical instrument,things,data/images/things_max/cello.jpg,14,14
cellphone,electronic device,things,data/images/things_max/cellphone.jpg,16,16
cement_mixer,#N/A,things,data/images/things_max/cement_mixer.jpg,12,12
centerpiece,home decor,things,data/images/things_max/centerpiece.jpg,13,13
centrifuge,electronic device,things,data/images/things_max/centrifuge.jpg,12,12
cereal,food,things,data/images/things_max/cereal.jpg,12,12
chain,tool,things,data/images/things_max/chain.jpg,16,16
chainsaw,"electronic device, weapon, tool",things,data/images/things_max/chainsaw.jpg,16,16
chair,furniture,things,data/images/things_max/chair.jpg,12,12
chalice,container,things,data/images/things_max/chalice.jpg,16,16
chalk,Noun,things,data/images/things_max/chalk.jpg,13,13
chalkboard,Noun,things,data/images/things_max/chalkboard.jpg,12,12
champagne,drink,things,data/images/things_max/champagne.jpg,18,18
chandelier,home decor,things,data/images/things_max/chandelier.jpg,12,12
chaps,clothing,things,data/images/things_max/chaps.jpg,19,19
charcoal,Noun,things,data/images/things_max/charcoal.jpg,12,12
charger,Noun,things,data/images/things_max/charger.jpg,14,14
chariot,vehicle,things,data/images/things_max/chariot.jpg,14,14
checkbook,Noun,things,data/images/things_max/checkbook.jpg,12,12
checkers,Noun,things,data/images/things_max/checkers.jpg,12,12
cheese,"food, dessert",things,data/images/things_max/cheese.jpg,15,15
cheeseburger,food,things,data/images/things_max/cheeseburger.jpg,12,12
cheesecake,"food, dessert",things,data/images/things_max/cheesecake.jpg,15,15
cheetah,animal,things,data/images/things_max/cheetah.jpg,13,13
cherry,"food, fruit",things,data/images/things_max/cherry.jpg,12,12
chess_piece,#N/A,things,data/images/things_max/chess_piece.jpg,13,13
chessboard,Noun,things,data/images/things_max/chessboard.jpg,12,12
chest1,body part,things,data/images/things_max/chest1.jpg,14,14
chest2,"furniture, container",things,data/images/things_max/chest2.jpg,12,12
chick,"animal, bird",things,data/images/things_max/chick.jpg,12,12
chicken_wire,#N/A,things,data/images/things_max/chicken_wire.jpg,14,14
chicken1,food,things,data/images/things_max/chicken1.jpg,12,12
chicken2,animal,things,data/images/things_max/chicken2.jpg,12,12
chickpea,"food, vegetable",things,data/images/things_max/chickpea.jpg,15,15
chihuahua,animal,things,data/images/things_max/chihuahua.jpg,12,12
chili,food,things,data/images/things_max/chili.jpg,14,14
chime,musical instrument,things,data/images/things_max/chime.jpg,12,12
chimney,Noun,things,data/images/things_max/chimney.jpg,12,12
chin,body part,things,data/images/things_max/chin.jpg,12,12
chinaware,Noun,things,data/images/things_max/chinaware.jpg,15,15
chinchilla,animal,things,data/images/things_max/chinchilla.jpg,15,15
chip,Noun,things,data/images/things_max/chip.jpg,12,12
chipmunk,animal,things,data/images/things_max/chipmunk.jpg,16,16
chips,food,things,data/images/things_max/chips.jpg,12,12
chisel,tool,things,data/images/things_max/chisel.jpg,16,16
chive,"plant, food, vegetable",things,data/images/things_max/chive.jpg,12,12
chocolate,"food, dessert",things,data/images/things_max/chocolate.jpg,14,14
chopsticks,tool,things,data/images/things_max/chopsticks.jpg,12,12
christmas_card,#N/A,things,data/images/things_max/christmas_card.jpg,15,15
christmas_tree,home decor,things,data/images/things_max/christmas_tree.jpg,12,12
chute,Noun,things,data/images/things_max/chute.jpg,13,13
cigar,Noun,things,data/images/things_max/cigar.jpg,25,25
cigarette,Noun,things,data/images/things_max/cigarette.jpg,17,17
cigarette_butt,#N/A,things,data/images/things_max/cigarette_butt.jpg,14,14
cigarette_holder,#N/A,things,data/images/things_max/cigarette_holder.jpg,20,20
cilantro,"plant, food, vegetable",things,data/images/things_max/cilantro.jpg,13,13
cinnamon,food,things,data/images/things_max/cinnamon.jpg,12,12
clam,"animal, food",things,data/images/things_max/clam.jpg,16,16
clarinet,musical instrument,things,data/images/things_max/clarinet.jpg,13,13
clasp,Noun,things,data/images/things_max/clasp.jpg,13,13
clay,Noun,things,data/images/things_max/clay.jpg,12,12
cleat,sports equipment,things,data/images/things_max/cleat.jpg,22,22
cleaver,"weapon, kitchen tool, tool",things,data/images/things_max/cleaver.jpg,13,13
clipboard,office supply,things,data/images/things_max/clipboard.jpg,15,15
clipper1,tool,things,data/images/things_max/clipper1.jpg,13,13
clipper2,tool,things,data/images/things_max/clipper2.jpg,12,12
cloak,clothing,things,data/images/things_max/cloak.jpg,14,14
clock,Noun,things,data/images/things_max/clock.jpg,12,12
closet,"furniture, container",things,data/images/things_max/closet.jpg,13,13
clothes,clothing,things,data/images/things_max/clothes.jpg,13,13
clothesline,Noun,things,data/images/things_max/clothesline.jpg,12,12
clothespin,Noun,things,data/images/things_max/clothespin.jpg,12,12
cloud,Noun,things,data/images/things_max/cloud.jpg,12,12
clove,food,things,data/images/things_max/clove.jpg,12,12
clover,plant,things,data/images/things_max/clover.jpg,18,18
coal,Noun,things,data/images/things_max/coal.jpg,12,12
coaster,home decor,things,data/images/things_max/coaster.jpg,18,18
coat,clothing,things,data/images/things_max/coat.jpg,12,12
coat_rack,furniture,things,data/images/things_max/coat_rack.jpg,15,15
cobra,animal,things,data/images/things_max/cobra.jpg,13,13
cockatoo,"animal, bird",things,data/images/things_max/cockatoo.jpg,13,13
cockroach,"animal, insect",things,data/images/things_max/cockroach.jpg,12,12
cocktail,drink,things,data/images/things_max/cocktail.jpg,12,12
coconut,"food, fruit",things,data/images/things_max/coconut.jpg,20,20
cocoon,Noun,things,data/images/things_max/cocoon.jpg,12,12
coffee,drink,things,data/images/things_max/coffee.jpg,15,15
coffee_bean,food,things,data/images/things_max/coffee_bean.jpg,12,12
coffee_filter,#N/A,things,data/images/things_max/coffee_filter.jpg,12,12
coffee_pot,container,things,data/images/things_max/coffee_pot.jpg,14,14
coffee_table,furniture,things,data/images/things_max/coffee_table.jpg,14,14
coffeemaker,"electronic device, kitchen appliance",things,data/images/things_max/coffeemaker.jpg,14,14
coffin,container,things,data/images/things_max/coffin.jpg,13,13
coil,tool,things,data/images/things_max/coil.jpg,12,12
coin,Noun,things,data/images/things_max/coin.jpg,15,15
coleslaw,food,things,data/images/things_max/coleslaw.jpg,15,15
collar,Noun,things,data/images/things_max/collar.jpg,16,16
column,Noun,things,data/images/things_max/column.jpg,14,14
comb,Verb,things,data/images/things_max/comb.jpg,12,12
combination_lock,#N/A,things,data/images/things_max/combination_lock.jpg,12,12
comic_book,#N/A,things,data/images/things_max/comic_book.jpg,15,15
compass,Noun,things,data/images/things_max/compass.jpg,12,12
compost,Noun,things,data/images/things_max/compost.jpg,16,16
computer,electronic device,things,data/images/things_max/computer.jpg,12,12
computer_screen,electronic device,things,data/images/things_max/computer_screen.jpg,16,16
confetti,Noun,things,data/images/things_max/confetti.jpg,12,12
contact_lens,#N/A,things,data/images/things_max/contact_lens.jpg,16,16
container,container,things,data/images/things_max/container.jpg,13,13
cooker,"electronic device, container, kitchen appliance",things,data/images/things_max/cooker.jpg,16,16
cookie,"food, dessert",things,data/images/things_max/cookie.jpg,15,15
cookie_cutter,kitchen utensil,things,data/images/things_max/cookie_cutter.jpg,13,13
cookie_sheet,kitchen utensil,things,data/images/things_max/cookie_sheet.jpg,14,14
cooler,Noun,things,data/images/things_max/cooler.jpg,13,13
coop,container,things,data/images/things_max/coop.jpg,13,13
copier,electronic device,things,data/images/things_max/copier.jpg,15,15
coral,animal,things,data/images/things_max/coral.jpg,13,13
cord,Noun,things,data/images/things_max/cord.jpg,15,15
cordon_bleu,food,things,data/images/things_max/cordon_bleu.jpg,12,12
cork,Noun,things,data/images/things_max/cork.jpg,14,14
corkboard,office supply,things,data/images/things_max/corkboard.jpg,15,15
corkscrew,"kitchen tool, tool",things,data/images/things_max/corkscrew.jpg,12,12
corn,"plant, food, vegetable",things,data/images/things_max/corn.jpg,17,17
cornbread,food,things,data/images/things_max/cornbread.jpg,14,14
cornhusk,#N/A,things,data/images/things_max/cornhusk.jpg,15,15
cornmeal,food,things,data/images/things_max/cornmeal.jpg,14,14
cornucopia,home decor,things,data/images/things_max/cornucopia.jpg,13,13
corsage,clothing accessory,things,data/images/things_max/corsage.jpg,15,15
corset,clothing,things,data/images/things_max/corset.jpg,18,18
costume,clothing,things,data/images/things_max/costume.jpg,14,14
cot,furniture,things,data/images/things_max/cot.jpg,17,17
cotton_candy,food,things,data/images/things_max/cotton_candy.jpg,13,13
couch,furniture,things,data/images/things_max/couch.jpg,22,22
cougar,animal,things,data/images/things_max/cougar.jpg,20,20
counter,furniture,things,data/images/things_max/counter.jpg,17,17
coverall,clothing,things,data/images/things_max/coverall.jpg,14,14
cow,animal,things,data/images/things_max/cow.jpg,16,16
coyote,animal,things,data/images/things_max/coyote.jpg,20,20
crab,"animal, food",things,data/images/things_max/crab.jpg,17,17
cracker,food,things,data/images/things_max/cracker.jpg,15,15
cranberry,"food, fruit",things,data/images/things_max/cranberry.jpg,14,14
crane,Name,things,data/images/things_max/crane.jpg,18,18
crank,tool,things,data/images/things_max/crank.jpg,16,16
crate,container,things,data/images/things_max/crate.jpg,17,17
crayfish,"animal, food",things,data/images/things_max/crayfish.jpg,15,15
crayon,toy,things,data/images/things_max/crayon.jpg,17,17
cream,Noun,things,data/images/things_max/cream.jpg,12,12
cream_cheese,food,things,data/images/things_max/cream_cheese.jpg,12,12
credit_card,#N/A,things,data/images/things_max/credit_card.jpg,12,12
creme_brulee,"food, dessert",things,data/images/things_max/creme_brulee.jpg,19,19
crepe,"food, dessert",things,data/images/things_max/crepe.jpg,19,19
