concept,concept_subtype,mismatch_concept,mismatch_subtype,mismatch_mode
bread,food,noodle,food,within_subtype
breadbox,container,beanie,clothing,cross_subtype
breadstick,food,pepperoni,food,within_subtype
breakfast,food,bear,animal,cross_subtype
breathalyzer,Noun,slot,Noun,within_subtype
brick,Noun,beard,body part,cross_subtype
briefcase,container,test_tube,container,within_subtype
broccoli,"plant, food, vegetable",beaver,animal,cross_subtype
brooch,clothing accessory,insole,clothing accessory,within_subtype
broom,tool,bed,furniture,cross_subtype
brownie,"food, dessert",crepe,"food, dessert",within_subtype
brush,tool,bedpan,"medical equipment, container",cross_subtype
brussels_sprouts,"food, vegetable",chickpea,"food, vegetable",within_subtype
bubble,Noun,bedpost,furniture,cross_subtype
bubble_wrap,#N/A,satellite_dish,#N/A,within_subtype
bucket,container,bee,"animal, insect",cross_subtype
buckle,clothing accessory,corsage,clothing accessory,within_subtype
buffet,food,beehive,Noun,cross_subtype
bug,"animal, insect",ant,"animal, insect",within_subtype
buggy,vehicle,beer,drink,cross_subtype
bull,animal,wolf,animal,within_subtype
bulldozer,vehicle,beet,"food, vegetable",cross_subtype
bullet,weapon,arrow,weapon,within_subtype
bulletin_board,#N/A,beetle,"animal, insect",cross_subtype
bulletproof_vest,clothing,loincloth,clothing,within_subtype
bumper,part of car,bell,musical instrument,cross_subtype
bun,food,cinnamon,food,within_subtype
bungee,"tool, sports equipment",bell_pepper,"food, vegetable",cross_subtype
bunkbed,furniture,beanbag,furniture,within_subtype
buoy,Noun,belt,"clothing, clothing accessory",cross_subtype
burner,kitchen appliance,oven,kitchen appliance,within_subtype
burrito,food,belt_buckle,clothing accessory,cross_subtype
bus,vehicle,tugboat,vehicle,within_subtype
bush,plant,bench,furniture,cross_subtype
butter,food,stir_fry,food,within_subtype
butterfly,"animal, insect",berry,"food, fruit",cross_subtype
button1,clothing accessory,belt_buckle,clothing accessory,within_subtype
button2,Noun,bike,vehicle,cross_subtype
cabbage,"plant, food, vegetable",arugula,"plant, food, vegetable",within_subtype
cabinet,"furniture, container",bikini,clothing,cross_subtype
cable,Noun,perfume,Noun,within_subtype
cactus,plant,bin,container,cross_subtype
cage,container,dish,container,within_subtype
cake,"food, dessert",binder,office supply,cross_subtype
cake_mix,"food, dessert",birthday_cake,"food, dessert",within_subtype
calamari,food,binoculars,Noun,cross_subtype
calculator,Noun,coin,Noun,within_subtype
calf1,animal,bird,"animal, bird",cross_subtype
calf2,body part,ear,body part,within_subtype
calzone,food,birdbath,"home decor, container",cross_subtype
camcorder,electronic device,computer,electronic device,within_subtype
camel,animal,birdcage,"home decor, container",cross_subtype
camera1,electronic device,television,electronic device,within_subtype
camera2,electronic device,birdhouse,home decor,cross_subtype
camera_lens,#N/A,parking_meter,#N/A,within_subtype
camper,vehicle,birthday_cake,"food, dessert",cross_subtype
can,container,teacup,container,within_subtype
can_opener,"kitchen tool, tool",biscuit,food,cross_subtype
candelabra,home decor,curtain,home decor,within_subtype
candle,home decor,bison,animal,cross_subtype
candlestick,home decor,cuckoo_clock,home decor,within_subtype
candy,food,blackberry,"food, fruit",cross_subtype
candy_bar,food,hotdog,food,within_subtype
candy_cane,food,blanket,Noun,cross_subtype
cane,medical equipment,stretcher,medical equipment,within_subtype
canister,container,blazer,clothing,cross_subtype
cannon,weapon,flamethrower,weapon,within_subtype
cannonball,weapon,blender,"electronic device, kitchen appliance",cross_subtype
canoe,vehicle,humvee,vehicle,within_subtype
cantaloupe,"food, fruit",blimp,vehicle,cross_subtype
canvas,Noun,wire,Noun,within_subtype
cap,Noun,blind,Adjective,cross_subtype
cape,clothing,straightjacket,clothing,within_subtype
car,vehicle,blinder,Adjective,cross_subtype
car_door,part of car,windshield,part of car,within_subtype
car_seat,part of car,blindfold,Noun,cross_subtype
caramel,"food, dessert",ice,"food, dessert",within_subtype
card,Noun,blouse,clothing,cross_subtype
cardboard,Adjective,blind,Adjective,within_subtype
cardigan,clothing,blower,"electronic device, tool",cross_subtype
cardinal,"animal, bird",hummingbird,"animal, bird",within_subtype
carousel,Noun,blowfish,animal,cross_subtype
carriage,vehicle,ship,vehicle,within_subtype
carrot,"food, vegetable",blowgun,weapon,cross_subtype
cart,vehicle,tractor,vehicle,within_subtype
cash_machine,electronic device,blowtorch,"weapon, tool",cross_subtype
cash_register,container,bucket,container,within_subtype
cashew,food,blueberry,"food, fruit",cross_subtype
casserole,food,tamale,food,within_subtype
cassette,container,boa,"clothing, clothing accessory",cross_subtype
cat,animal,barnacle,animal,within_subtype
catapult,weapon,boar,animal,cross_subtype
caterpillar,"animal, insect",butterfly,"animal, insect",within_subtype
catfish,"animal, food",board,Noun,cross_subtype
cauliflower,"food, vegetable",cucumber,"food, vegetable",within_subtype
caviar,food,board_game,#N/A,cross_subtype
cd_player,electronic device,turntable,electronic device,within_subtype
celery,"food, vegetable",boat,vehicle,cross_subtype
cello,musical instrument,whistle,musical instrument,within_subtype
cellphone,electronic device,bobsled,sports equipment,cross_subtype
cement_mixer,#N/A,polaroid,#N/A,within_subtype
centerpiece,home decor,bok_choy,"plant, food, vegetable",cross_subtype
centrifuge,electronic device,camera1,electronic device,within_subtype
cereal,food,bolo_tie,"clothing, clothing accessory",cross_subtype
chain,tool,sickle,tool,within_subtype
chainsaw,"electronic device, weapon, tool",bologna,food,cross_subtype
chair,furniture,recliner,furniture,within_subtype
chalice,container,bolt,Noun,cross_subtype
chalk,Noun,branch,Noun,within_subtype
chalkboard,Noun,bomb,weapon,cross_subtype
champagne,drink,milk,drink,within_subtype
chandelier,home decor,bone,body part,cross_subtype
chaps,clothing,sweatsuit,clothing,within_subtype
charcoal,Noun,bongo,musical instrument,cross_subtype
charger,Noun,vent,Noun,within_subtype
chariot,vehicle,bonnet,"clothing, clothing accessory",cross_subtype
checkbook,Noun,railing,Noun,within_subtype
checkers,Noun,bonsai,"home decor, plant",cross_subtype
cheese,"food, dessert",ice-cream_cone,"food, dessert",within_subtype
cheeseburger,food,book,Noun,cross_subtype
cheesecake,"food, dessert",eclair,"food, dessert",within_subtype
cheetah,animal,bookmark,Noun,cross_subtype
cherry,"food, fruit",blueberry,"food, fruit",within_subtype
chess_piece,#N/A,bookshelf,furniture,cross_subtype
chessboard,Noun,coal,Noun,within_subtype
chest1,body part,boomerang,"weapon, toy",cross_subtype
chest2,"furniture, container",dresser,"furniture, container",within_subtype
chick,"animal, bird",boot,clothing,cross_subtype
chicken1,food,quiche,food,within_subtype
chicken2,animal,bottle,container,cross_subtype
chicken_wire,#N/A,ferris_wheel,#N/A,within_subtype
chickpea,"food, vegetable",bottle_opener,"kitchen tool, tool",cross_subtype
chihuahua,animal,coral,animal,within_subtype
chili,food,boulder,Name,cross_subtype
chime,musical instrument,whistle,musical instrument,within_subtype
chimney,Noun,bouquet,decoration,cross_subtype
chin,body part,bone,body part,within_subtype
chinaware,Noun,bow1,"clothing, clothing accessory",cross_subtype
chinchilla,animal,llama,animal,within_subtype
chip,Noun,bow2,weapon,cross_subtype
chipmunk,animal,zebra,animal,within_subtype
chips,food,bow3,decoration,cross_subtype
chisel,tool,tool,tool,within_subtype
chive,"plant, food, vegetable",bowl,container,cross_subtype
chocolate,"food, dessert",fruitcake,"food, dessert",within_subtype
chopsticks,tool,bowler_hat,clothing,cross_subtype
christmas_card,#N/A,chicken_wire,#N/A,within_subtype
christmas_tree,home decor,bowling_ball,sports equipment,cross_subtype
chute,Noun,chip,Noun,within_subtype
cigar,Noun,bowtie,"clothing, clothing accessory",cross_subtype
cigarette,Noun,hairbrush,Noun,within_subtype
cigarette_butt,#N/A,box,container,cross_subtype
cigarette_holder,#N/A,board_game,#N/A,within_subtype
cilantro,"plant, food, vegetable",boxer_shorts,clothing,cross_subtype
cinnamon,food,pancake,food,within_subtype
clam,"animal, food",boxing_gloves,sports equipment,cross_subtype
clarinet,musical instrument,drum,musical instrument,within_subtype
clasp,Noun,bra,clothing,cross_subtype
clay,Noun,foam,Noun,within_subtype
cleat,sports equipment,brace,medical equipment,cross_subtype
cleaver,"weapon, kitchen tool, tool",icepick,"weapon, kitchen tool, tool",within_subtype
clipboard,office supply,bracelet1,"clothing, clothing accessory",cross_subtype
clipper1,tool,coil,tool,within_subtype
clipper2,tool,bracelet2,clothing accessory,cross_subtype
cloak,clothing,cardigan,clothing,within_subtype
clock,Noun,brake,part of car,cross_subtype
closet,"furniture, container",filing_cabinet,"furniture, container",within_subtype
clothes,clothing,branch,Noun,cross_subtype
clothesline,Noun,fossil,Noun,within_subtype
clothespin,Noun,brass_knuckles,weapon,cross_subtype
cloud,Noun,button2,Noun,within_subtype
clove,food,breadbox,container,cross_subtype
clover,plant,palm_tree,plant,within_subtype
coal,Noun,breadstick,food,cross_subtype
coaster,home decor,candelabra,home decor,within_subtype
coat,clothing,breakfast,food,cross_subtype
coat_rack,furniture,lectern,furniture,within_subtype
cobra,animal,breathalyzer,Noun,cross_subtype
cockatoo,"animal, bird",eagle,"animal, bird",within_subtype
cockroach,"animal, insect",brick,Noun,cross_subtype
cocktail,drink,margarita,drink,within_subtype
coconut,"food, fruit",briefcase,container,cross_subtype
cocoon,Noun,gate,Noun,within_subtype
coffee,drink,broccoli,"plant, food, vegetable",cross_subtype
coffee_bean,food,saffron,food,within_subtype
coffee_filter,#N/A,brooch,clothing accessory,cross_subtype
coffee_pot,container,pot,container,within_subtype
coffee_table,furniture,broom,tool,cross_subtype
coffeemaker,"electronic device, kitchen appliance",waffle_iron,"electronic device, kitchen appliance",within_subtype
coffin,container,brownie,"food, dessert",cross_subtype
coil,tool,wire_cutters,tool,within_subtype
coin,Noun,brush,tool,cross_subtype
coleslaw,food,tomato_sauce,food,within_subtype
collar,Noun,brussels_sprouts,"food, vegetable",cross_subtype
column,Noun,fungus,Noun,within_subtype
comb,Verb,bubble,Noun,cross_subtype
combination_lock,#N/A,diving_board,#N/A,within_subtype
comic_book,#N/A,bucket,container,cross_subtype
compass,Noun,scale,Noun,within_subtype
compost,Noun,buckle,clothing accessory,cross_subtype
computer,electronic device,cellphone,electronic device,within_subtype
computer_screen,electronic device,buffet,food,cross_subtype
confetti,Noun,porthole,Noun,within_subtype
contact_lens,#N/A,bug,"animal, insect",cross_subtype
container,container,tupperware,container,within_subtype
cooker,"electronic device, container, kitchen appliance",buggy,vehicle,cross_subtype
cookie,"food, dessert",pudding,"food, dessert",within_subtype
cookie_cutter,kitchen utensil,bull,animal,cross_subtype
cookie_sheet,kitchen utensil,cookie_cutter,kitchen utensil,within_subtype
cooler,Noun,bulldozer,vehicle,cross_subtype
coop,container,ashtray,container,within_subtype
copier,electronic device,bullet,weapon,cross_subtype
coral,animal,anteater,animal,within_subtype
cord,Noun,bulletin_board,#N/A,cross_subtype
cordon_bleu,food,bagel,food,within_subtype
cork,Noun,bulletproof_vest,clothing,cross_subtype
corkboard,office supply,folder,office supply,within_subtype
corkscrew,"kitchen tool, tool",bumper,part of car,cross_subtype
corn,"plant, food, vegetable",arugula,"plant, food, vegetable",within_subtype
cornbread,food,bungee,"tool, sports equipment",cross_subtype
cornhusk,#N/A,shower_curtain,#N/A,within_subtype
cornmeal,food,bunkbed,furniture,cross_subtype
cornucopia,home decor,abacus,home decor,within_subtype
corsage,clothing accessory,buoy,Noun,cross_subtype
corset,clothing,outfit,clothing,within_subtype
costume,clothing,burner,kitchen appliance,cross_subtype
cot,furniture,coffee_table,furniture,within_subtype
cotton_candy,food,bus,vehicle,cross_subtype
couch,furniture,shelf,furniture,within_subtype
cougar,animal,bush,plant,cross_subtype
counter,furniture,mattress,furniture,within_subtype
coverall,clothing,butter,food,cross_subtype
cow,animal,rhinoceros,animal,within_subtype
coyote,animal,butterfly,"animal, insect",cross_subtype
crab,"animal, food",rabbit,"animal, food",within_subtype
cracker,food,button1,clothing accessory,cross_subtype
cranberry,"food, fruit",plum,"food, fruit",within_subtype
crane,Name,button2,Noun,cross_subtype
crank,tool,chain,tool,within_subtype
crate,container,cabbage,"plant, food, vegetable",cross_subtype
crayfish,"animal, food",squid,"animal, food",within_subtype
crayon,toy,cabinet,"furniture, container",cross_subtype
cream,Noun,porthole,Noun,within_subtype
cream_cheese,food,cable,Noun,cross_subtype
credit_card,#N/A,photo_booth,#N/A,within_subtype
creme_brulee,"food, dessert",cactus,plant,cross_subtype
crepe,"food, dessert",banana_split,"food, dessert",within_subtype
crib,furniture,cage,container,cross_subtype
croissant,food,cornbread,food,within_subtype
cross,Verb,cake,"food, dessert",cross_subtype
crossbow,weapon,baton2,weapon,within_subtype
crouton,food,cake_mix,"food, dessert",cross_subtype
crow,"animal, bird",owl,"animal, bird",within_subtype
crowbar,"weapon, tool",calamari,food,cross_subtype
crown,clothing,veil,clothing,within_subtype
crucifix,decoration,calculator,Noun,cross_subtype
cruise_ship,vehicle,garbage_truck,vehicle,within_subtype
crumb,food,calf1,animal,cross_subtype
crutch,medical equipment,eyedropper,medical equipment,within_subtype
crystal1,Noun,calf2,body part,cross_subtype
crystal2,Noun,bib,Noun,within_subtype
crystal_ball,home decor,calzone,food,cross_subtype
cuckoo_clock,home decor,weather_vane,home decor,within_subtype
cucumber,"food, vegetable",camcorder,electronic device,cross_subtype
cufflink,clothing accessory,lanyard,clothing accessory,within_subtype
cummerbund,"clothing, clothing accessory",camel,animal,cross_subtype
cup,container,cage,container,within_subtype
cupcake,"food, dessert",camera1,electronic device,cross_subtype
curb,Noun,incense,Noun,within_subtype
curling_iron,"electronic device, tool",camera2,electronic device,cross_subtype
curry,food,pizza,food,within_subtype
curtain,home decor,camera_lens,#N/A,cross_subtype
cushion,Noun,saucer,Noun,within_subtype
cutting_board,kitchen tool,camper,vehicle,cross_subtype
cymbal,musical instrument,saxophone,musical instrument,within_subtype
dagger,weapon,can,container,cross_subtype
daisy,plant,palm_tree,plant,within_subtype
dalmatian,animal,can_opener,"kitchen tool, tool",cross_subtype
dandelion,plant,fern,plant,within_subtype
dart,"weapon, sports equipment",candelabra,home decor,cross_subtype
dartboard,sports equipment,tennis_ball,sports equipment,within_subtype
dashboard,part of car,candle,home decor,cross_subtype
deer,animal,goldfish,animal,within_subtype
defibrillator,"electronic device, medical equipment",candlestick,home decor,cross_subtype
denture,Noun,urinal,Noun,within_subtype
deodorant,Noun,candy,food,cross_subtype
desk,furniture,table,furniture,within_subtype
dessert,"food, dessert",candy_bar,food,cross_subtype
detonator,Noun,duct,Noun,within_subtype
dial,Verb,candy_cane,food,cross_subtype
diamond,decoration,jewel,decoration,within_subtype
diaper,clothing,cane,medical equipment,cross_subtype
dice,Noun,lamppost,Noun,within_subtype
dip,food,canister,container,cross_subtype
dirt_bike,vehicle,rocket,vehicle,within_subtype
dish,container,cannon,weapon,cross_subtype
dishrag,Noun,pallet,Noun,within_subtype
dishwasher,"electronic device, kitchen appliance",cannonball,weapon,cross_subtype
dishwashing_liquid,#N/A,wrapping_paper,#N/A,within_subtype
diskette,Noun,canoe,vehicle,cross_subtype
diving_board,#N/A,gas_mask,#N/A,within_subtype
dog,animal,cantaloupe,"food, fruit",cross_subtype
dogfood,food,gumdrop,food,within_subtype
doghouse,container,canvas,Noun,cross_subtype
doily,home decor,wreath,home decor,within_subtype
doll,toy,cap,Noun,cross_subtype
dollhouse,toy,train_set,toy,within_subtype
dolly,Name,cape,clothing,cross_subtype
dolphin,animal,camel,animal,within_subtype
domino,Noun,car,vehicle,cross_subtype
donkey,animal,turtle,animal,within_subtype
donut,"food, dessert",car_door,part of car,cross_subtype
door,Noun,furnace,Noun,within_subtype
doorbell,Noun,car_seat,part of car,cross_subtype
doorhandle,#N/A,fencepost,#N/A,within_subtype
doorknob,Noun,caramel,"food, dessert",cross_subtype
doorknocker,home decor,tapestry,home decor,within_subtype
doormat,Noun,cardboard,Adjective,cross_subtype
doorstop,Noun,mullet,Noun,within_subtype
dough,food,cardigan,clothing,cross_subtype
dragonfly,"animal, insect",mosquito,"animal, insect",within_subtype
drain,Noun,cardinal,"animal, bird",cross_subtype
drawer,container,container,container,within_subtype
dreidel,toy,carousel,Noun,cross_subtype
dress,clothing,cape,clothing,within_subtype
dresser,"furniture, container",carriage,vehicle,cross_subtype
drill,"electronic device, tool",vacuum,"electronic device, tool",within_subtype
drink,drink,carrot,"food, vegetable",cross_subtype
drum,musical instrument,saxophone,musical instrument,within_subtype
drumstick,Noun,cart,vehicle,cross_subtype
dryer,electronic device,printer,electronic device,within_subtype
duck,"animal, bird",cash_machine,electronic device,cross_subtype
duckling,"animal, bird",owl,"animal, bird",within_subtype
duct,Noun,cash_register,container,cross_subtype
duct_tape,#N/A,fencepost,#N/A,within_subtype
duffel_bag,container,cashew,food,cross_subtype
dumbbell,sports equipment,snowboard,sports equipment,within_subtype
dumbwaiter,Noun,casserole,food,cross_subtype
dumpling,food,coffee_bean,food,within_subtype
dumpster,container,cat,animal,cross_subtype
duster,tool,lighter,tool,within_subtype
dustpan,"container, tool",catapult,weapon,cross_subtype
dynamite,weapon,bow2,weapon,within_subtype
eagle,"animal, bird",caterpillar,"animal, insect",cross_subtype
ear,body part,calf2,body part,within_subtype
earplug,Noun,catfish,"animal, food",cross_subtype
earring,clothing accessory,bracelet2,clothing accessory,within_subtype
earwig,"animal, insect",cauliflower,"food, vegetable",cross_subtype
easel,Noun,silverware,Noun,within_subtype
easter_egg,food,cd_player,electronic device,cross_subtype
eclair,"food, dessert",cake_mix,"food, dessert",within_subtype
eel,"animal, food",celery,"food, vegetable",cross_subtype
egg,food,peanut_butter,food,within_subtype
egg_roll,food,cello,musical instrument,cross_subtype
eggbeater,"kitchen tool, tool",grinder,"kitchen tool, tool",within_subtype
eggnog,drink,cellphone,electronic device,cross_subtype
eggplant,"food, vegetable",vegetable,"food, vegetable",within_subtype
eggshell,Noun,cement_mixer,#N/A,cross_subtype
elbow,body part,tongue,body part,within_subtype
electric_chair,electronic device,centerpiece,home decor,cross_subtype
elephant,animal,pony,animal,within_subtype
emerald,Noun,centrifuge,electronic device,cross_subtype
enchilada,food,kebab,food,within_subtype
engine,part of car,cereal,food,cross_subtype
envelope,office supply,paperweight,office supply,within_subtype
